long,lat,tipo,dist
-45.459007,-22.949862,Radar_fixo,40kmh@40
-44.262523,-2.628080,Radar_fixo,40kmh@40
-49.336401,-25.420297,Radar_fixo,40kmh@40
-49.337205,-25.419749,Radar_fixo,40kmh@40
-37.622170,-9.930263,Radar_fixo,40kmh@40
-39.556904,-16.580014,Radar_fixo,40kmh@40
-48.050567,-15.913215,Radar_fixo,40kmh@40
-49.330440,-25.427061,Radar_fixo,40kmh@40
-47.986647,-15.811245,Radar_fixo,40kmh@40
-41.039622,-20.760123,Radar_fixo,40kmh@40
-47.907648,-21.821728,Radar_fixo,40kmh@40
-47.907774,-21.821035,Radar_fixo,40kmh@40
-45.403418,-23.620223,Radar_fixo,40kmh@40
-45.413156,-23.625512,Radar_fixo,40kmh@40
-45.412709,-23.625026,Radar_fixo,40kmh@40
-45.431782,-23.713826,Radar_fixo,40kmh@40
-45.410816,-23.758650,Radar_fixo,40kmh@40
-48.243412,-22.256199,Radar_fixo,40kmh@40
-48.244268,-22.255712,Radar_fixo,40kmh@40
-43.652418,-22.392724,Radar_fixo,40kmh@40
-43.651798,-22.392179,Radar_fixo,40kmh@40
-49.874702,-22.962648,Radar_fixo,40kmh@40
-49.249045,-25.407192,Radar_fixo,40kmh@40
-49.248562,-25.407061,Radar_fixo,40kmh@40
-49.281214,-25.370961,Radar_fixo,40kmh@40
-35.902584,-7.362429,Radar_fixo,40kmh@40
-49.202546,-25.420444,Radar_fixo,40kmh@40
-48.261157,-15.758674,Radar_fixo,40kmh@40
-48.267798,-15.764462,Radar_fixo,40kmh@40
-48.242188,-15.761064,Radar_fixo,40kmh@40
-48.277962,-15.778437,Radar_fixo,40kmh@40
-48.268149,-15.764942,Radar_fixo,40kmh@40
-48.261788,-15.759364,Radar_fixo,40kmh@40
-48.277990,-15.778304,Radar_fixo,40kmh@40
-44.930908,-22.253113,Radar_fixo,40kmh@40
-46.656086,-24.110674,Radar_fixo,40kmh@40
-46.685623,-24.125939,Radar_fixo,40kmh@40
-49.337689,-25.413709,Radar_fixo,40kmh@40
-55.562208,-12.287048,Radar_fixo,40kmh@40
-49.273332,-25.368008,Radar_fixo,40kmh@40
-56.123920,-15.642781,Radar_fixo,40kmh@40
-49.535448,-16.293732,Radar_fixo,40kmh@40
-48.961348,-16.306442,Radar_fixo,40kmh@40
-48.962770,-16.303380,Radar_fixo,40kmh@40
-46.570375,-21.792443,Radar_fixo,40kmh@40
-46.531989,-21.784264,Radar_fixo,40kmh@40
-48.261591,-22.404992,Radar_fixo,40kmh@40
-48.261739,-22.405139,Radar_fixo,40kmh@40
-48.201985,-22.517764,Radar_fixo,40kmh@40
-51.091912,-26.226024,Radar_fixo,40kmh@40
-55.725864,-12.538655,Radar_fixo,40kmh@40
-48.821824,-26.383840,Radar_fixo,40kmh@40
-49.447776,-16.741353,Radar_fixo,40kmh@40
-49.448166,-16.738854,Radar_fixo,40kmh@40
-43.489911,-22.985400,Radar_fixo,40kmh@40
-43.855260,-16.770487,Radar_fixo,40kmh@40
-43.855340,-16.770741,Radar_fixo,40kmh@40
-55.517084,-11.986638,Radar_fixo,40kmh@40
-55.641408,-12.425187,Radar_fixo,40kmh@40
-55.729542,-12.560354,Radar_fixo,40kmh@40
-55.729591,-12.560413,Radar_fixo,40kmh@40
-55.722906,-12.555420,Radar_fixo,40kmh@40
-56.123058,-15.658117,Radar_fixo,40kmh@40
-56.123097,-15.657868,Radar_fixo,40kmh@40
-56.125990,-15.663404,Radar_fixo,40kmh@40
-56.126059,-15.663299,Radar_fixo,40kmh@40
-56.128765,-15.696870,Radar_fixo,40kmh@40
-56.128902,-15.696699,Radar_fixo,40kmh@40
-41.509060,-17.853858,Radar_fixo,40kmh@40
-45.593882,-22.737859,Radar_fixo,40kmh@40
-44.470372,-4.046667,Radar_fixo,40kmh@40
-46.946834,-19.592532,Radar_fixo,40kmh@40
-46.948442,-19.592530,Radar_fixo,40kmh@40
-43.472720,-19.946254,Radar_fixo,40kmh@40
-43.472903,-19.949986,Radar_fixo,40kmh@40
-56.044222,-15.606168,Radar_fixo,40kmh@40
-56.044380,-15.606290,Radar_fixo,40kmh@40
-49.097006,-26.872100,Radar_fixo,40kmh@40
-49.699557,-15.358970,Radar_fixo,40kmh@40
-49.699728,-15.362885,Radar_fixo,40kmh@40
-46.270211,-23.540434,Radar_fixo,40kmh@40
-67.794727,-10.011464,Radar_fixo,40kmh@40
-48.854544,-26.284414,Radar_fixo,40kmh@40
-60.595521,2.616213,Radar_fixo,40kmh@40
-60.918378,2.454708,Radar_fixo,40kmh@40
-60.698273,2.877593,Radar_fixo,40kmh@40
-54.678896,-20.548087,Radar_fixo,40kmh@40
-48.869538,-26.285608,Radar_fixo,40kmh@40
-41.814024,-21.223276,Radar_fixo,40kmh@40
-48.832893,-26.330732,Radar_fixo,40kmh@40
-48.832459,-26.331547,Radar_fixo,40kmh@40
-44.002579,-19.925252,Radar_fixo,40kmh@40
-44.004526,-19.925212,Radar_fixo,40kmh@40
-51.404254,-26.997682,Radar_fixo,40kmh@40
-52.608812,-27.095231,Radar_fixo,40kmh@40
-46.086740,-23.804821,Radar_fixo,40kmh@40
-46.141825,-23.849434,Radar_fixo,40kmh@40
-46.138931,-23.832083,Radar_fixo,40kmh@40
-48.976485,-15.851696,Radar_fixo,40kmh@40
-45.602262,-22.753729,Radar_fixo,40kmh@40
-45.599547,-22.760892,Radar_fixo,40kmh@40
-48.976373,-15.875881,Radar_fixo,40kmh@40
-45.474915,-22.951678,Radar_fixo,40kmh@40
-45.474903,-22.951552,Radar_fixo,40kmh@40
-45.553124,-23.016364,Radar_fixo,40kmh@40
-44.374772,-15.466848,Radar_fixo,40kmh@40
-48.854113,-26.313153,Radar_fixo,40kmh@40
-45.100171,-22.730457,Radar_fixo,40kmh@40
-45.097904,-22.734099,Radar_fixo,40kmh@40
-43.614361,-19.325284,Radar_fixo,40kmh@40
-48.811562,-26.273164,Radar_fixo,40kmh@40
-42.997053,-22.482421,Radar_fixo,40kmh@40
-42.996290,-22.481030,Radar_fixo,40kmh@40
-42.953134,-22.391792,Radar_fixo,40kmh@40
-48.848731,-26.288197,Radar_fixo,40kmh@40
-40.351221,-3.594760,Radar_fixo,40kmh@40
-40.351016,-3.593907,Radar_fixo,40kmh@40
-54.545964,-20.465997,Radar_fixo,40kmh@40
-54.546031,-20.466056,Radar_fixo,40kmh@40
-56.081873,-15.626730,Radar_fixo,40kmh@40
-56.082364,-15.626416,Radar_fixo,40kmh@40
-51.037473,-30.077650,Radar_fixo,40kmh@40
-51.026305,-30.067278,Radar_fixo,40kmh@40
-51.022214,-30.065937,Radar_fixo,40kmh@40
-49.255081,-25.531187,Radar_fixo,40kmh@40
-49.255069,-25.530985,Radar_fixo,40kmh@40
-45.414165,-23.626007,Radar_fixo,40kmh@40
-52.417315,-26.880031,Radar_fixo,40kmh@40
-52.416541,-26.879818,Radar_fixo,40kmh@40
-45.942292,-22.241466,Radar_fixo,40kmh@40
-45.943555,-22.242275,Radar_fixo,40kmh@40
-49.333695,-25.448590,Radar_fixo,40kmh@40
-49.334769,-25.448361,Radar_fixo,40kmh@40
-45.415839,-23.622933,Radar_fixo,40kmh@40
-53.045179,-26.055984,Radar_fixo,40kmh@40
-46.631899,-21.837699,Radar_fixo,40kmh@40
-49.162866,-25.348527,Radar_fixo,40kmh@40
-49.163004,-25.348701,Radar_fixo,40kmh@40
-56.079205,-15.541497,Radar_fixo,40kmh@40
-56.079368,-15.542224,Radar_fixo,40kmh@40
-46.949658,-19.615660,Radar_fixo,40kmh@40
-46.560138,-21.807095,Radar_fixo,40kmh@40
-46.561199,-21.805868,Radar_fixo,40kmh@40
-46.532425,-21.793112,Radar_fixo,40kmh@40
-46.532546,-21.793117,Radar_fixo,40kmh@40
-49.239528,-25.427282,Radar_fixo,40kmh@40
-49.325062,-25.424082,Radar_fixo,40kmh@40
-49.325216,-25.426894,Radar_fixo,40kmh@40
-49.311620,-25.412606,Radar_fixo,40kmh@40
-49.274034,-25.437981,Radar_fixo,40kmh@40
-49.243152,-25.428244,Radar_fixo,40kmh@40
-42.527827,-19.480180,Radar_fixo,40kmh@40
-49.267203,-25.437931,Radar_fixo,40kmh@40
-44.270544,-2.638972,Radar_fixo,40kmh@40
-49.119472,-16.680891,Radar_fixo,40kmh@40
-49.193669,-16.684011,Radar_fixo,40kmh@40
-52.317994,-15.878096,Radar_fixo,40kmh@40
-52.295231,-15.878080,Radar_fixo,40kmh@40
-52.295006,-15.877850,Radar_fixo,40kmh@40
-42.698948,-21.628001,Radar_fixo,40kmh@40
-42.902478,-21.987846,Radar_fixo,40kmh@40
-46.162556,-21.651795,Radar_fixo,40kmh@40
-44.348922,-2.753195,Radar_fixo,40kmh@40
-44.260899,-2.625535,Radar_fixo,40kmh@40
-50.131686,-15.959554,Radar_fixo,40kmh@40
-48.972419,-15.873477,Radar_fixo,40kmh@40
-50.130608,-15.948514,Radar_fixo,40kmh@40
-50.131108,-15.958683,Radar_fixo,40kmh@40
-48.619126,-17.721613,Radar_fixo,40kmh@40
-45.892069,-23.213065,Radar_fixo,40kmh@40
-48.046751,-15.925119,Radar_fixo,40kmh@40
-50.631700,-29.101094,Radar_fixo,40kmh@40
-48.046058,-15.926643,Radar_fixo,40kmh@40
-49.318333,-25.715962,Radar_fixo,40kmh@40
-43.635803,-21.269574,Radar_fixo,40kmh@40
-49.301752,-25.413535,Radar_fixo,40kmh@40
-48.804461,-17.387597,Radar_fixo,40kmh@40
-49.294479,-25.395193,Radar_fixo,40kmh@40
-49.294973,-25.395928,Radar_fixo,40kmh@40
-49.255661,-25.364395,Radar_fixo,40kmh@40
-49.245718,-25.360994,Radar_fixo,40kmh@40
-49.254625,-25.362916,Radar_fixo,40kmh@40
-49.244905,-25.361178,Radar_fixo,40kmh@40
-53.450316,-24.958351,Radar_fixo,40kmh@40
-53.422562,-24.973578,Radar_fixo,40kmh@40
-53.421651,-24.927386,Radar_fixo,40kmh@40
-53.500300,-24.957806,Radar_fixo,40kmh@40
-53.445042,-24.927085,Radar_fixo,40kmh@40
-53.503444,-24.970544,Radar_fixo,40kmh@40
-53.464479,-24.990836,Radar_fixo,40kmh@40
-53.438052,-24.918824,Radar_fixo,40kmh@40
-49.219345,-25.387116,Radar_fixo,40kmh@40
-53.437546,-24.924148,Radar_fixo,40kmh@40
-49.272773,-25.393162,Radar_fixo,40kmh@40
-53.493681,-24.968990,Radar_fixo,40kmh@40
-53.494789,-24.968465,Radar_fixo,40kmh@40
-41.774259,-12.427961,Radar_fixo,40kmh@40
-45.440003,-23.589609,Radar_fixo,40kmh@40
-45.447768,-23.586836,Radar_fixo,40kmh@40
-45.449766,-23.600321,Radar_fixo,40kmh@40
-49.339674,-25.424314,Radar_fixo,40kmh@40
-49.339350,-25.423340,Radar_fixo,40kmh@40
-49.202437,-25.420637,Radar_fixo,40kmh@40
-49.234635,-25.397816,Radar_fixo,40kmh@40
-49.235812,-25.398605,Radar_fixo,40kmh@40
-49.272238,-25.389802,Radar_fixo,40kmh@40
-48.049829,-15.914841,Radar_fixo,40kmh@40
-49.311594,-25.422659,Radar_fixo,40kmh@40
-49.321095,-25.426365,Radar_fixo,40kmh@40
-46.340558,-23.509981,Radar_fixo,40kmh@40
-46.340491,-23.509927,Radar_fixo,40kmh@40
-43.791778,-20.642787,Radar_fixo,40kmh@40
-39.077780,-12.609115,Radar_fixo,40kmh@40
-39.091960,-12.628671,Radar_fixo,40kmh@40
-39.284287,-12.978712,Radar_fixo,40kmh@40
-39.291137,-12.985013,Radar_fixo,40kmh@40
-39.319524,-13.173890,Radar_fixo,40kmh@40
-49.222724,-25.389970,Radar_fixo,40kmh@40
-49.221189,-25.390490,Radar_fixo,40kmh@40
-49.325496,-25.421461,Radar_fixo,40kmh@40
-38.395870,-12.148705,Radar_fixo,40kmh@40
-38.415074,-12.162086,Radar_fixo,40kmh@40
-37.621937,-10.959561,Radar_fixo,40kmh@40
-37.550710,-10.986377,Radar_fixo,40kmh@40
-37.550913,-10.986603,Radar_fixo,40kmh@40
-46.554561,-23.136241,Radar_fixo,40kmh@40
-46.581620,-23.119507,Radar_fixo,40kmh@40
-49.210748,-25.372498,Radar_fixo,40kmh@40
-49.208199,-25.371298,Radar_fixo,40kmh@40
-49.326174,-25.422055,Radar_fixo,40kmh@40
-49.324343,-25.411288,Radar_fixo,40kmh@40
-49.284039,-25.368560,Radar_fixo,40kmh@40
-49.338000,-25.413842,Radar_fixo,40kmh@40
-45.254229,-22.860882,Radar_fixo,40kmh@40
-45.253994,-22.860536,Radar_fixo,40kmh@40
-52.406284,-26.861046,Radar_fixo,40kmh@40
-52.395699,-26.878279,Radar_fixo,40kmh@40
-49.330675,-20.768826,Radar_fixo,40kmh@40
-49.387830,-20.811202,Radar_fixo,40kmh@40
-49.401702,-20.779868,Radar_fixo,40kmh@40
-49.394009,-20.834136,Radar_fixo,40kmh@40
-49.351351,-20.792113,Radar_fixo,40kmh@40
-49.368551,-20.783045,Radar_fixo,40kmh@40
-46.668573,-19.160263,Radar_fixo,40kmh@40
-49.205120,-25.437024,Radar_fixo,40kmh@40
-43.656739,-22.645992,Radar_fixo,40kmh@40
-46.853358,-23.491573,Radar_fixo,40kmh@40
-46.634292,-23.554891,Radar_fixo,40kmh@40
-38.883087,-4.314905,Radar_fixo,40kmh@40
